/in X,/in YRe,/in YReImag,/out X,/out YRe,/out YReImag
1,0.1,0,1,0.1383603944826249,-4.174376606911679e-08
6666667.66,0.1,0,6666667.66,0.0262303986933561,-0.05685933069538211
13333334.32,0.1,0,13333334.32,0.005887761103275956,-0.03369281439829992
20000000.98,0.1,0,20000000.98,0.001173808607801865,-0.02333085469559151
26666667.64,0.1,0,26666667.64,-0.0006525036120188043,-0.01773966252427957
33333334.3,0.1,0,33333334.3,-0.001580478844325175,-0.01422983864808033
40000000.96,0.1,0,40000000.96,-0.002123294450170156,-0.01179144762406583
46666667.62,0.1,0,46666667.62,-0.002459638742562205,-0.009977488963247003
53333334.28,0.1,0,53333334.28,-0.002668160702538573,-0.008564436909706432
60000000.94,0.1,0,60000000.94,-0.002791236694222106,-0.007428741289359239
66666667.59999999,0.1,0,66666667.59999999,-0.002855334593264876,-0.006495754527441657
73333334.25999999,0.1,0,73333334.25999999,-0.002878396280224491,-0.005716747535590275
80000000.91999999,0.1,0,80000000.91999999,-0.002872997207376275,-0.005057879474190952
86666667.57999998,0.1,0,86666667.57999998,-0.002848021630306115,-0.004494556492787118
93333334.23999998,0.1,0,93333334.23999998,-0.002809730418031571,-0.004008331591756066
100000000.9,0.1,0,100000000.9,-0.002762511456925406,-0.003585064199823045
106666667.56,0.1,0,106666667.56,-0.002709423113666427,-0.003213745224536422
113333334.22,0.1,0,113333334.22,-0.00265258744709481,-0.002885700997883765
120000000.88,0.1,0,120000000.88,-0.00259347171759683,-0.002594029975555794
126666667.54,0.1,0,126666667.54,-0.002533087651452874,-0.002333192145011282
133333334.2,0.1,0,133333334.2,-0.002472131184394037,-0.002098703761349054
140000000.86,0.1,0,140000000.86,-0.002411079807937476,-0.00188690729233627
146666667.52,0.1,0,146666667.52,-0.002350260083279954,-0.001694796313289699
153333334.1799999,0.1,0,153333334.1799999,-0.002289894345163702,-0.001519881165791593
160000000.8399999,0.1,0,160000000.8399999,-0.002230132972169098,-0.001360085177687248
166666667.4999999,0.1,0,166666667.4999999,-0.002171076680662258,-0.001213663977666052
173333334.1599999,0.1,0,173333334.1599999,-0.002112791935661357,-0.001079142376054603
180000000.8199999,0.1,0,180000000.8199999,-0.002055321615664378,-0.000955264684545664
186666667.4799999,0.1,0,186666667.4799999,-0.00199869240398007,-0.0008409553738047581
193333334.1399999,0.1,0,193333334.1399999,-0.001942919920255088,-0.0007352877261497607
200000000.7999999,0.1,0,200000000.7999999,-0.001888012289488043,-0.0006374587045973352
206666667.4599999,0.1,0,206666667.4599999,-0.001833972628687966,-0.0005467686813084749
213333334.1199999,0.1,0,213333334.1199999,-0.001780800781793325,-0.0004626049853916153
220000000.7799999,0.1,0,220000000.7799999,-0.001728494530831628,-0.0003844284691841086
226666667.4399999,0.1,0,226666667.4399999,-0.001677050440815527,-0.0003117624733227609
233333334.0999999,0.1,0,233333334.0999999,-0.001626464447152097,-0.0002441837089269126
240000000.7599999,0.1,0,240000000.7599999,-0.00157673226106889,-0.0001813146805965592
246666667.4199999,0.1,0,246666667.4199999,-0.001527849645424043,-0.000122817354887759
253333334.0799999,0.1,0,253333334.0799999,-0.001479812597438074,-6.838784133484722e-05
260000000.7399999,0.1,0,260000000.7399999,-0.001432617463978364,-1.775190132652566e-05
266666667.3999999,0.1,0,266666667.3999999,-0.001386261007421155,2.933886222805647e-05
273333334.0599999,0.1,0,273333334.0599999,-0.001340740434945511,7.311025223217904e-05
280000000.7199999,0.1,0,280000000.7199999,-0.001296053400528656,0.0001137682565300227
286666667.3799999,0.1,0,286666667.3799999,-0.001252197986393953,0.0001515014354867526
293333334.04,0.1,0,293333334.04,-0.001209172668961075,0.0001864829803862077
300000000.7,0.1,0,300000000.7,-0.001166976273138752,0.0002188724936074676
306666667.36,0.1,0,306666667.36,-0.001125607917957685,0.0002488175324917247
313333334.02,0.1,0,313333334.02,-0.001085066955944713,0.0002764549515158449
320000000.6800001,0.1,0,320000000.6800001,-0.001045352908195293,0.0003019120715400066
326666667.3400001,0.1,0,326666667.3400001,-0.001006465396793278,0.0003253077001730952
333333334.0000001,0.1,0,333333334.0000001,-0.0009684040759803064,0.0003467530234627686
340000000.6600001,0.1,0,340000000.6600001,-0.0009311685632696998,0.0003663523859486564
346666667.3200002,0.1,0,346666667.3200002,-0.0008947583715582149,0.0003842039735936964
353333333.9800002,0.1,0,353333333.9800002,-0.0008591728431461913,0.0004004004119715003
360000000.6400002,0.1,0,360000000.6400002,-0.0008244110864488829,0.0004150292903367095
366666667.3000003,0.1,0,366666667.3000003,-0.0007904719160838898,0.0004281736207493716
373333333.9600003,0.1,0,373333333.9600003,-0.0007573537969094632,0.0004399122402253009
380000000.6200003,0.1,0,380000000.6200003,-0.0007250547924958681,0.0004503201628336781
386666667.2800003,0.1,0,386666667.2800003,-0.0006935725184209716,0.0004594688878287131
393333333.9400004,0.1,0,393333333.9400004,-0.000662904100694405,0.0004674266691362584
400000000.6000004,0.1,0,400000000.6000004,-0.0006330461395337353,0.000474258750916674
406666667.2600004,0.1,0,406666667.2600004,-0.0006039946786373315,0.0004800275733524828
413333333.9200004,0.1,0,413333333.9200004,-0.0005757451800276192,0.0004847929523727741
420000000.5800005,0.1,0,420000000.5800005,-0.0005482925044692229,0.0004886122365867186
426666667.2400005,0.1,0,426666667.2400005,-0.0005216308974044884,0.0004915404443589678
433333333.9000005,0.1,0,433333333.9000005,-0.000495753980291843,0.0004936303836283543
440000000.5600005,0.1,0,440000000.5600005,-0.0004706547471798436,0.0004949327568002514
446666667.2200006,0.1,0,446666667.2200006,-0.0004463255663066604,0.0004954962527805424
453333333.8800006,0.1,0,453333333.8800006,-0.0004227581864686398,0.0004953676280015195
460000000.5400006,0.1,0,460000000.5400006,-0.0003999437478773187,0.000494591778075748
466666667.2000006,0.1,0,466666667.2000006,-0.0003778727971842904,0.0004932118015378307
473333333.8600007,0.1,0,473333333.8600007,-0.0003565353063413748,0.0004912690569613241
480000000.5200007,0.1,0,480000000.5200007,-0.0003359206949382985,0.0004888032145849809
486666667.1800007,0.1,0,486666667.1800007,-0.0003160178556556608,0.0004858523034437858
493333333.8400007,0.1,0,493333333.8400007,-0.0002968151824576074,0.0004824527548745535
500000000.5000008,0.1,0,500000000.5000008,-0.0002783006011493035,0.000478639443152685
506666667.1600008,0.1,0,506666667.1600008,-0.0002604616019343584,0.0004744457238957687
513333333.8200008,0.1,0,513333333.8200008,-0.0002432852735960169,0.0004699034708035563
520000000.4800009,0.1,0,520000000.4800009,-0.0002267583389560956,0.0004650431111852681
526666667.1400009,0.1,0,526666667.1400009,-0.0002108671912668868,0.0004598936606661646
533333333.8000009,0.1,0,533333333.8000009,-0.0001955979312053285,0.0004544827573958512
540000000.4600009,0.1,0,540000000.4600009,-0.0001809364041703596,0.0004488366960004126
546666667.1200008,0.1,0,546666667.1200008,-0.0001668682375859743,0.0004429804614880558
553333333.7800008,0.1,0,553333333.7800008,-0.0001533788779509206,0.0004369377632467906
560000000.4400008,0.1,0,560000000.4400008,-0.0001404536273839732,0.0004307310692470434
566666667.1000007,0.1,0,566666667.1000007,-0.0001280776794516045,0.0004243816405071448
573333333.7600007,0.1,0,573333333.7600007,-0.0001162361540695664,0.0004179095658664277
580000000.4200007,0.1,0,580000000.4200007,-0.0001049141313141536,0.0004113337970630577
586666667.0800006,0.1,0,586666667.0800006,-9.409668398412939e-05,0.0004046721841066426
593333333.7400006,0.1,0,593333333.7400006,-8.376890878610129e-05,0.0003979415109078423
600000000.4000006,0.1,0,600000000.4000006,-7.391595603930837e-05,0.0003911575311127982
606666667.0600005,0.1,0,606666667.0600005,-6.452305780562718e-05,0.0003843350040832256
613333333.7200005,0.1,0,613333333.7200005,-5.557555438537254e-05,0.0003774877309464395
620000000.3800005,0.1,0,620000000.3800005,-4.705891912430191e-05,0.0003706285906405572
626666667.0400004,0.1,0,626666667.0400004,-3.895878150636071e-05,0.000363769575869869
633333333.7000004,0.1,0,633333333.7000004,-3.126094850819737e-05,0.0003569218288900238
640000000.3600004,0.1,0,640000000.3600004,-2.395142422341626e-05,0.0003500956770360288
646666667.0200003,0.1,0,646666667.0200003,-1.701642776160863e-05,0.0003433006679121633
653333333.6800003,0.1,0,653333333.6800003,-1.04424094482121e-05,0.0003365456041643025
660000000.3400003,0.1,0,660000000.3400003,-4.216065359666384e-06,0.0003298385777568118
666666667.0000002,0.1,0,666666667.0000002,1.675649764729014e-06,0.0003231870036839849
673333333.6600002,0.1,0,673333333.6600002,7.245511184146976e-06,0.0003165976530493585
680000000.3200002,0.1,0,680000000.3200002,1.250601433299996e-05,0.0003100766854511367
686666666.9800001,0.1,0,686666666.9800001,1.746936645123687e-05,0.0003036296806199007
693333333.6400001,0.1,0,693333333.6400001,2.214747960176255e-05,0.0002972616692587635
700000000.3000001,0.1,0,700000000.3000001,2.655196500695738e-05,0.0002909771630446436
706666666.96,0.1,0,706666666.96,3.069412863031905e-05,0.0002847801837533854
713333333.62,0.1,0,713333333.62,3.458496793088652e-05,0.0002786742914783761
720000000.28,0.1,0,720000000.28,3.823516971670489e-05,0.0002726626119189896
726666666.9399999,0.1,0,726666666.9399999,4.165510902220054e-05,0.0002667478627192743
733333333.5999999,0.1,0,733333333.5999999,4.485484893693064e-05,0.0002609323788440634
740000000.2599999,0.1,0,740000000.2599999,4.784414131254204e-05,0.0002552181369841557
746666666.9199998,0.1,0,746666666.9199998,5.063242827637849e-05,0.0002496067789870495
753333333.5799998,0.1,0,753333333.5799998,5.322884448434716e-05,0.0002440996343139975
760000000.2399998,0.1,0,760000000.2399998,5.564222004345496e-05,0.0002386977415283052
766666666.8999997,0.1,0,766666666.8999997,5.788108404120729e-05,0.0002334018688242175
773333333.5599997,0.1,0,773333333.5599997,5.995366861929426e-05,0.0002282125336070352
780000000.2199997,0.1,0,780000000.2199997,6.186791353344207e-05,0.0002231300211405242
786666666.8799996,0.1,0,786666666.8799996,6.363147114061998e-05,0.0002181544022785374
793333333.5399996,0.1,0,793333333.5399996,6.525171176405501e-05,0.0002132855503010856
800000000.1999996,0.1,0,800000000.1999996,6.673572938226203e-05,0.0002085231568761334
806666666.8599995,0.1,0,806666666.8599995,6.809034759796676e-05,0.0002038667471709279
813333333.5199995,0.1,0,813333333.5199995,6.932212584091787e-05,0.0001993156941377168
820000000.1799995,0.1,0,820000000.1799995,7.043736576415287e-05,0.0001948692319995388
826666666.8399994,0.1,0,826666666.8399994,7.144211779570709e-05,0.0001905264689632608
833333333.4999994,0.1,0,833333333.4999994,7.234218780995913e-05,0.0001862863991870993
840000000.1599994,0.1,0,840000000.1599994,7.3143143887427e-05,0.0001821479140304393
846666666.8199993,0.1,0,846666666.8199993,7.385032313102169e-05,0.0001781098126147424
853333333.4799993,0.1,0,853333333.4799993,7.446883851319293e-05,0.0001741708117229934
860000000.1399993,0.1,0,860000000.1399993,7.500358572892627e-05,0.0001703295550665848
866666666.7999992,0.1,0,866666666.7999992,7.545925003143132e-05,0.0001665846219470358
873333333.4599992,0.1,0,873333333.4599992,7.58403130306717e-05,0.0001629345353409685
880000000.1199992,0.1,0,880000000.1199992,7.615105943651261e-05,0.0001593777694348202
886666666.7799991,0.1,0,886666666.7799991,7.639558373063543e-05,0.000155912756636598
893333333.4399991,0.1,0,893333333.4399991,7.657779675182947e-05,0.0001525378940907419
900000000.0999991,0.1,0,900000000.0999991,7.670143218327279e-05,0.0001492515497213287
906666666.759999,0.1,0,906666666.759999,7.677005292977619e-05,0.0001460520678288954
913333333.419999,0.1,0,913333333.419999,7.678705737618422e-05,0.0001429377742643141
920000000.079999,0.1,0,920000000.079999,7.675568551770406e-05,0.0001399069812039579
926666666.7399989,0.1,0,926666666.7399989,7.667902495713842e-05,0.0001369579915473171
933333333.3999989,0.1,0,933333333.3999989,7.656001676087386e-05,0.0001340891029601019
940000000.0599989,0.1,0,940000000.0599989,7.640146117145294e-05,0.0001312986115824949
946666666.7199988,0.1,0,946666666.7199988,7.620602317079045e-05,0.0001285848154233193
953333333.3799988,0.1,0,953333333.3799988,7.597623789337601e-05,0.0001259460174586284
960000000.0399988,0.1,0,960000000.0399988,7.57145158860049e-05,0.0001233805284535249
966666666.6999987,0.1,0,966666666.6999987,7.542314821328222e-05,0.0001208866695244142
973333333.3599987,0.1,0,973333333.3599987,7.510431140917533e-05,0.0001184627744580757
980000000.0199987,0.1,0,980000000.0199987,7.47600722728242e-05,0.0001161071918041151
986666666.6799986,0.1,0,986666666.6799986,7.43923925116571e-05,0.0001138182867548984
993333333.3399986,0.1,0,993333333.3399986,7.400313323041943e-05,0.0001115944428281521
1000000000,0.1,0,1000000000,7.35940592696856e-05,0.0001094340633651578
